,SalePrice
0,71354.555
1,72026.248
2,72301.111
3,72434.628
4,72563.583
5,72459.25
6,72463.433
7,72354.128
8,72433.128
9,71853.631
10,71531.249
11,71494.194
12,71494.194
13,72489.706
14,72430.206
15,72621.783
16,72642.783
17,72684.783
18,72684.783
19,72692.083
20,72623.183
21,72431.561
22,72452.561
23,72453.961
24,72490.161
25,72431.561
26,72614.272
27,72621.783
28,72515.561
29,72431.561
30,71848.381
31,58790.394
32,71803.431
33,72616.683
34,72726.905
35,72538.083
36,72452.561
37,72559.083
38,72557.683
39,72452.561
40,72546.361
41,72490.761
42,72621.783
43,72431.561
44,72431.561
45,72749.55
46,72410.728
47,72732.406
48,72866.083
49,71974.048
50,72065.57
51,71847.031
52,72057.048
53,71971.148
54,71906.164
55,72009.748
56,71878.748
57,71967.748
58,71793.964
59,72062.353
60,72079.17
61,71893.631
62,72021.848
63,71967.648
64,71914.631
65,71969.048
66,71336.547
67,71849.831
68,72027.17
69,71936.07
70,71624.294
71,70993.71
72,71557.194
73,70986.193
74,71369.172
75,71591.494
76,58152.946
77,59121.486
78,71117.471
79,58088.524
80,71418.194
81,71428.277
82,59917.39
83,58210.146
84,71499.777
85,71531.794
86,71557.294
87,71034.593
88,70913.715
89,71491.777
90,71473.294
91,71284.373
92,71065.26
93,71269.655
94,72510.728
95,59829.64
96,59024.597
97,59755.964
98,58281.917
99,71016.393
100,59541.993
101,71907.148
102,72026.248
103,71934.348
104,71893.631
105,72611.283
106,59299.349
107,72397.628
108,71930.27
109,71663.609
110,71946.731
111,71894.07
112,71736.37
113,71218.336
114,71748.864
115,72016.203
116,72452.561
117,71257.547
118,72347.589
119,72390.328
120,72331.122
121,72550.211
122,72684.783
123,72431.561
124,72070.307
125,59087.049
126,71819.109
127,71921.053
128,59044.649
129,71932.126
130,71939.776
131,59698.464
132,71981.848
133,71465.162
134,71380.292
135,72512.861
136,72387.206
137,72433.728
138,72089.229
139,72035.607
140,71033.893
141,71508.177
142,70872.711
143,72085.507
144,71981.681
145,71877.709
146,71962.182
147,72621.783
148,72452.561
149,72375.128
150,72020.648
151,71770.948
152,71749.226
153,71400.594
154,71405.906
155,71405.906
156,71403.072
157,71748.626
158,71652.509
159,71907.343
160,71777.531
161,72076.17
162,71802.842
163,71846.981
164,71967.648
165,71953.048
166,72354.128
167,72661.383
168,72517.85
169,72432.961
170,72376.528
171,72452.561
172,72490.161
173,72431.561
174,72495.45
175,72410.728
176,71975.938
177,72589.55
178,72439.028
179,72356.428
180,72539.75
181,72431.561
182,72474.261
183,72469.761
184,72607.45
185,72534.211
186,72489.706
187,72047.97
188,71859.826
189,71819.109
190,71695.609
191,71494.194
192,71494.194
193,72443.728
194,72464.728
195,72409.206
196,72409.206
197,72521.161
198,72510.706
199,72084.203
200,73069.928
201,72621.783
202,72686.183
203,72801.138
204,72621.783
205,72686.183
206,72532.172
207,72684.783
208,72623.183
209,72684.783
210,72494.561
211,72742.221
212,72732.328
213,72621.783
214,72432.961
215,72432.961
216,72431.561
217,72692.083
218,72686.183
219,72599.683
220,72494.561
221,72686.183
222,72431.561
223,72431.561
224,72432.961
225,72432.961
226,72595.283
227,72431.561
228,72378.544
229,72469.761
230,72469.761
231,72659.983
232,72511.161
233,72354.128
234,72412.728
235,72595.472
236,72493.228
237,72621.783
238,72835.405
239,72431.561
240,72574.883
241,72642.783
242,72621.783
243,72623.183
244,72495.961
245,72633.166
246,72452.561
247,72515.561
248,72623.183
249,72431.561
250,72684.783
251,72494.561
252,72621.783
253,72568.683
254,72452.561
255,71846.981
256,71846.981
257,71693.671
258,71848.381
259,72043.003
260,71816.959
261,71698.171
262,71739.526
263,72037.203
264,71825.981
265,71952.103
266,71846.981
267,71855.881
268,71776.248
269,71823.148
270,71875.509
271,72002.948
272,71900.726
273,71847.709
274,71850.264
275,71881.026
276,72580.366
277,72381.222
278,72726.905
279,72469.761
280,72469.761
281,72509.161
282,72572.161
283,72298.872
284,72424.561
285,72636.139
286,72560.428
287,72544.25
288,72574.35
289,72559.111
290,72834.7
291,71997.053
292,72026.248
293,72524.228
294,72708.05
295,71819.109
296,72030.648
297,72168.575
298,71981.848
299,71814.253
300,71946.648
301,71973.953
302,72134.77
303,71963.153
304,71894.442
305,72005.153
306,71765.731
307,72089.203
308,71890.726
309,71980.181
310,71858.031
311,71914.631
312,71855.526
313,72024.948
314,72026.248
315,72030.648
316,71967.648
317,71927.164
318,72026.153
319,71770.231
320,71963.153
321,71957.748
322,71748.626
323,71413.98
324,71407.03
325,72000.848
326,71864.459
327,59193.508
328,59384.304
329,71748.626
330,72475.242
331,71914.631
332,71963.153
333,71980.181
334,71939.526
335,71953.07
336,59987.29
337,71916.631
338,71963.248
339,71866.131
340,71915.848
341,71907.248
342,71963.248
343,71884.626
344,72079.17
345,71045.993
346,58288.35
347,70786.276
348,70870.86
349,71415.777
350,58146.698
351,58193.898
352,71309.773
353,70971.593
354,58266.85
355,71559.11
356,70888.526
357,71403.172
358,70880.593
359,71051.627
360,71542.894
361,71584.899
362,58076.894
363,59938.686
364,71369.147
365,71617.416
366,71360.777
367,71526.294
368,71071.311
369,71530.494
370,70895.593
371,58991.035
372,71350.055
373,71404.194
374,58085.494
375,71327.39
376,71141.227
377,71511.694
378,71839.748
379,71819.882
380,71430.802
381,59372.649
382,72079.17
383,72071.47
384,72063.848
385,72065.153
386,72737.628
387,59237.608
388,71906.226
389,71977.631
390,72009.648
391,71317.708
392,71918.203
393,71966.681
394,71934.081
395,71772.964
396,71430.78
397,71972.148
398,71914.631
399,72244.231
400,71967.648
401,72491.931
402,72496.431
403,72496.431
404,72686.183
405,72623.183
406,72623.183
407,72495.961
408,72432.961
409,72644.183
410,72623.183
411,72432.961
412,72441.539
413,72461.528
414,72260.6
415,72354.128
416,72452.561
417,72431.561
418,72504.911
419,72601.828
420,72707.183
421,72471.161
422,72452.561
423,72490.761
424,72437.461
425,72639.283
426,72398.439
427,72623.183
428,72431.561
429,71958.753
430,71408.694
431,71923.031
432,72016.17
433,71893.271
434,72009.648
435,72005.248
436,71565.694
437,71954.248
438,72545.761
439,72398.811
440,72592.311
441,72559.111
442,72626.328
443,72445.589
444,72517.628
445,60488.26
446,72625.028
447,71978.357
448,71951.479
449,71951.479
450,72495.528
451,72445.844
452,58899.498
453,58274.05
454,72081.007
455,58090.128
456,72016.203
457,71858.109
458,71866.131
459,71830.548
460,72595.183
461,72650.083
462,72495.45
463,72608.672
464,72452.561
465,72692.083
466,71910.231
467,71907.148
468,71922.731
469,71905.17
470,71833.131
471,71826.148
472,71687.353
473,72439.028
474,72354.128
475,72376.528
476,72427.939
477,72509.161
478,72431.561
479,72563.583
480,72354.128
481,72463.433
482,72543.983
483,72739.628
484,72692.083
485,72592.406
486,72606.983
487,72728.55
488,72513.783
489,72410.339
490,72605.161
491,72460.661
492,72613.733
493,72376.828
494,72515.106
495,72730.466
496,72527.811
497,72606.966
498,72093.376
499,71920.148
500,71983.148
501,71494.194
502,71494.194
503,71494.194
504,72464.728
505,72430.206
506,72705.783
507,72686.183
508,72686.183
509,72686.183
510,72686.183
511,72623.183
512,72686.183
513,72621.783
514,72905.071
515,72621.783
516,72621.783
517,72623.183
518,72789.905
519,72361.05
520,72789.905
521,72599.683
522,72599.683
523,72568.683
524,72661.383
525,72301.129
526,72538.083
527,72431.561
528,72469.761
529,72469.761
530,72431.561
531,72432.961
532,72469.761
533,72431.561
534,72354.128
535,72599.683
536,72722.983
537,72623.183
538,72431.561
539,72661.383
540,72692.083
541,72587.261
542,72733.728
543,72686.183
544,72499.061
545,72452.561
546,72623.183
547,72452.561
548,71846.981
549,71848.381
550,71698.171
551,71846.981
552,71846.981
553,71952.103
554,71757.37
555,71846.981
556,71952.103
557,72043.553
558,71823.248
559,59958.99
560,71978.748
561,72480.106
562,71909.231
563,72637.883
564,72665.583
565,72557.683
566,72557.683
567,72418.039
568,72431.728
569,72639.283
570,72471.161
571,72432.961
572,72432.961
573,72476.639
574,72434.628
575,72509.161
576,72509.161
577,72553.583
578,72431.85
579,73130.955
580,72226.678
581,72469.761
582,72746.55
583,72580.733
584,72524.906
585,72601.828
586,71972.148
587,71980.181
588,71963.248
589,72606.05
590,71963.153
591,71906.648
592,71875.853
593,71996.048
594,71734.642
595,71871.67
596,72030.653
597,71790.964
598,71990.77
599,71888.27
600,71999.67
601,72016.17
602,71914.631
603,71967.648
604,59885.951
605,71885.648
606,71871.67
607,71963.248
608,59290.645
609,71437.647
610,71287.38
611,71675.452
612,71851.531
613,71818.653
614,71876.348
615,71946.648
616,72061.07
617,71978.648
618,71973.331
619,71914.731
620,72026.248
621,59251.808
622,72021.848
623,71963.248
624,71963.248
625,58841.376
626,71476.894
627,59049.198
628,71436.777
629,71030.926
630,71037.427
631,71472.394
632,58049.646
633,71016.36
634,71522.794
635,58344.45
636,71012.527
637,71743.016
638,58956.376
639,70900.91
640,58152.346
641,71445.677
642,70793.693
643,71507.194
644,71031.36
645,58168.346
646,71412.95
647,70975.993
648,71413.794
649,71868.564
650,71582.594
651,71532.247
652,70958.693
653,71359.777
654,71398.377
655,71210.19
656,71423.777
657,71522.794
658,71484.294
659,71450.999
660,71377.455
661,71586.694
662,57999.25
663,71478.777
664,71498.694
665,71807.226
666,71406.311
667,71118.026
668,71100.726
669,71494.194
670,71527.394
671,71386.19
672,71322.672
673,71523.677
674,70900.093
675,57898.894
676,60003.137
677,71962.431
678,71921.126
679,71606.742
680,72007.453
681,71999.353
682,71834.626
683,72017.048
684,71787.648
685,71948.148
686,72529.306
687,71655.852
688,72245.053
689,72321.628
690,71909.726
691,71708.571
692,71958.031
693,59943.238
694,71777.442
695,71851.675
696,71931.103
697,71795.17
698,71885.981
699,72431.561
700,72623.183
701,72686.183
702,72686.183
703,72045.892
704,72451.706
705,72346.506
706,72391.728
707,72411.328
708,72452.561
709,72452.561
710,72556.528
711,72585.411
712,72542.25
713,72469.761
714,72659.983
715,72634.872
716,72361.05
717,72398.439
718,72068.907
719,72265.918
720,72418.039
721,72642.783
722,72453.961
723,71977.631
724,71902.648
725,71928.526
726,72065.848
727,71773.531
728,71786.882
729,58898.397
730,59252.908
731,59977.938
732,71451.792
733,71861.393
734,71915.653
735,71975.748
736,71429.047
737,71942.248
738,72338.353
739,71973.921
740,72456.428
741,71968.354
742,72582.806
743,72561.428
744,72706.028
745,60327.388
746,72679.05
747,72459.328
748,72577.111
749,71897.857
750,70686.476
751,71381.272
752,71508.128
753,71413.155
754,71467.416
755,71602.016
756,57869.205
757,58979.298
758,58106.95
759,71063.393
760,72081.007
761,72081.007
762,72213.059
763,71939.448
764,72145.276
765,71805.148
766,72399.061
767,72713.083
768,72438.861
769,72433.728
770,72650.083
771,72376.828
772,72487.661
773,72495.961
774,72553.761
775,72438.861
776,72623.183
777,71695.271
778,71698.171
779,71411.694
780,72214.492
781,71419.272
782,71364.072
783,71374.794
784,71397.777
785,71854.309
786,71329.906
787,71695.609
788,71737.626
789,71737.626
790,71091.993
791,71946.648
792,72418.628
793,72506.933
794,72390.328
795,72563.583
796,72408.984
797,72516.45
798,72495.45
799,71975.321
800,72420.061
801,72438.861
802,72795.328
803,72686.183
804,71948.416
805,72543.983
806,72501.861
807,72696.583
808,72496.028
809,72502.783
810,72320.228
811,72376.728
812,72288.211
813,72425.35
814,72643.828
815,72524.728
816,72580.828
817,71786.731
818,71888.27
819,71939.931
820,71510.249
821,71468.838
822,71489.794
823,71489.794
824,72306.706
825,72030.648
826,72686.183
827,72621.783
828,72623.183
829,72686.183
830,72684.783
831,72686.183
832,72686.183
833,72728.305
834,72705.216
835,72397.039
836,72623.183
837,72797.205
838,72623.183
839,72621.783
840,72724.383
841,72642.783
842,72452.561
843,72642.783
844,72432.961
845,72432.961
846,72432.961
847,72431.561
848,72599.683
849,72599.683
850,72547.683
851,72494.684
852,72431.561
853,72375.128
854,72431.561
855,72587.261
856,72376.528
857,72453.961
858,72452.561
859,72452.561
860,72724.383
861,72432.961
862,72421.55
863,72490.161
864,72432.961
865,72528.361
866,72431.561
867,72469.761
868,72354.128
869,72354.128
870,72686.183
871,72728.305
872,72621.783
873,72621.783
874,72431.561
875,72621.783
876,72422.539
877,72591.761
878,72431.561
879,72686.183
880,72788.334
881,72453.961
882,72432.961
883,72642.783
884,72642.783
885,72452.561
886,72452.561
887,72453.961
888,72494.684
889,72791.305
890,72431.561
891,72623.183
892,72623.183
893,71693.671
894,71771.104
895,71816.959
896,71846.981
897,71763.153
898,71709.131
899,71829.026
900,72016.17
901,72574.883
902,71912.548
903,71719.148
904,72538.083
905,72452.561
906,72452.561
907,72431.561
908,72382.05
909,72410.728
910,72509.161
911,72418.039
912,72497.239
913,72431.561
914,72347.85
915,72576.783
916,72462.061
917,72650.35
918,72554.128
919,72656.328
920,72603.75
921,72573.25
922,72354.128
923,72488.161
924,72660.333
925,72654.75
926,71888.27
927,60194.305
928,71956.631
929,72089.97
930,71853.631
931,71935.126
932,71889.031
933,72018.753
934,71814.253
935,71857.831
936,71903.47
937,71825.031
938,58889.993
939,59051.804
940,71180.447
941,72026.153
942,72153.47
943,72086.97
944,72113.77
945,71783.148
946,71963.248
947,72011.77
948,72053.77
949,72189.748
950,71914.631
951,71891.448
952,72079.17
953,71601.137
954,72026.248
955,71523.047
956,72039.153
957,71753.026
958,72060.148
959,71893.631
960,71858.031
961,71954.331
962,71326.325
